"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.071112296E1,5.162317132E1,6.974419750E0,4.209732986E1,8.682934570E1,0.000000000E0,0.000000000E0,2.121326214E-2,3.790092468E0,2.975459814E0,2.100000000E1
3.171173379E1,5.162317144E1,6.974419790E0,4.212143908E1,8.685345459E1,0.000000000E0,0.000000000E0,2.122861498E-2,3.790092468E0,3.019458294E0,2.100000000E1
3.271284389E1,5.162317156E1,6.974419900E0,4.210172499E1,8.683374023E1,0.000000000E0,0.000000000E0,2.124092410E-2,3.790092468E0,3.014072895E0,2.100000000E1
3.370866191E1,5.162317145E1,6.974419920E0,4.210862163E1,8.684063721E1,0.000000000E0,0.000000000E0,2.124624361E-2,3.790092468E0,2.989278316E0,2.300000000E1
3.471131014E1,5.162317147E1,6.974419990E0,4.211655620E1,8.684857178E1,0.000000000E0,0.000000000E0,2.125391066E-2,3.790092468E0,3.015473843E0,2.300000000E1
3.571143514E1,5.162317144E1,6.974420090E0,4.212345301E1,8.685546875E1,0.000000000E0,0.000000000E0,2.126220473E-2,3.790092468E0,3.018402576E0,2.300000000E1
3.671155420E1,5.162317141E1,6.974420200E0,4.212168282E1,8.685369873E1,0.000000000E0,0.000000000E0,2.126891204E-2,3.790092468E0,3.025010824E0,2.300000000E1
3.771102233E1,5.162317147E1,6.974420190E0,4.214689053E1,8.687890625E1,0.000000000E0,0.000000000E0,2.128536645E-2,3.790092468E0,2.905411482E0,2.300000000E1
3.871101592E1,5.162317140E1,6.974420400E0,4.214524221E1,8.687725830E1,0.000000000E0,0.000000000E0,2.129006771E-2,3.790092468E0,2.946747780E0,2.300000000E1
3.970977212E1,5.162317142E1,6.974420460E0,4.214951469E1,8.688153076E1,0.000000000E0,0.000000000E0,2.129369406E-2,3.790092468E0,2.928807020E0,2.200000000E1
4.071020483E1,5.162317143E1,6.974420510E0,4.215128470E1,8.688330078E1,0.000000000E0,0.000000000E0,2.151704698E-2,3.790092468E0,2.906024456E0,2.200000000E1
4.171171686E1,5.162316944E1,6.974420950E0,4.212283610E1,8.685485840E1,0.000000000E0,0.000000000E0,2.152049864E-2,3.790092468E0,2.885396242E0,2.100000000E1
4.271099972E1,5.162316944E1,6.974421000E0,4.211819739E1,8.685021973E1,0.000000000E0,0.000000000E0,2.152049864E-2,3.790092468E0,2.799523115E0,2.200000000E1
4.371052702E1,5.162316944E1,6.974421000E0,4.212405676E1,8.685607910E1,0.000000000E0,0.000000000E0,2.152883603E-2,3.790092468E0,2.868469238E0,2.200000000E1
