"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.014840233E1,5.162428168E1,6.974747060E0,3.291287130E1,7.764184570E1,0.000000000E0,0.000000000E0,2.441804995E-3,1.557834053E1,1.413396740E1,1.000000000E1
3.114743874E1,5.162428167E1,6.974747190E0,3.281765633E1,7.754663086E1,0.000000000E0,0.000000000E0,2.531985879E-3,1.685748672E1,1.468144321E1,9.000000000E0
3.214895233E1,5.162428138E1,6.974748410E0,3.286062331E1,7.758959961E1,0.000000000E0,0.000000000E0,2.552128173E-3,1.797041893E1,1.483214760E1,1.000000000E1
3.314997655E1,5.162428136E1,6.974748700E0,3.289193407E1,7.762091064E1,0.000000000E0,0.000000000E0,2.576764082E-3,2.008191681E1,1.517261124E1,1.100000000E1
3.414825337E1,5.162428148E1,6.974748400E0,3.238406111E1,7.711303711E1,0.000000000E0,0.000000000E0,2.802354757E-3,2.265742493E1,1.567071629E1,1.100000000E1
3.514649134E1,5.162428069E1,6.974751410E0,3.292342420E1,7.765240479E1,0.000000000E0,0.000000000E0,2.814107683E-3,2.277415466E1,1.481550598E1,9.000000000E0
3.614782332E1,5.162428074E1,6.974751560E0,3.250917863E1,7.723815918E1,0.000000000E0,0.000000000E0,2.826263040E-3,2.463168526E1,1.443805408E1,9.000000000E0
3.714846009E1,5.162428066E1,6.974751680E0,3.256868758E1,7.729766846E1,0.000000000E0,0.000000000E0,2.845713107E-3,2.437953186E1,1.332119656E1,1.000000000E1
3.814803733E1,5.162428061E1,6.974751950E0,3.251088693E1,7.723986816E1,0.000000000E0,0.000000000E0,2.860485693E-3,2.449863052E1,1.251036930E1,1.000000000E1
3.914709196E1,5.162428072E1,6.974751830E0,3.226345083E1,7.699243164E1,0.000000000E0,0.000000000E0,2.925385022E-3,2.531679344E1,1.180551624E1,1.100000000E1
4.014637774E1,5.162428108E1,6.974751090E0,3.201235381E1,7.674133301E1,0.000000000E0,0.000000000E0,3.005733826E-3,2.495847130E1,1.112239742E1,1.100000000E1
4.115230717E1,5.162428070E1,6.974752080E0,3.261135097E1,7.734033203E1,0.000000000E0,0.000000000E0,3.736653909E-3,2.308464813E1,1.045518398E1,1.100000000E1
4.214888873E1,5.162428696E1,6.974748850E0,3.234641830E1,7.707537842E1,0.000000000E0,0.000000000E0,3.745584137E-3,1.358552361E1,9.463374138E0,1.200000000E1
4.314757681E1,5.162428693E1,6.974748970E0,3.230387662E1,7.703283691E1,0.000000000E0,0.000000000E0,3.870215726E-3,1.185673904E1,8.703333855E0,1.200000000E1
4.414885196E1,5.162428620E1,6.974750340E0,3.368589248E1,7.841485596E1,0.000000000E0,0.000000000E0,3.881968650E-3,1.278243446E1,9.190378189E0,1.100000000E1
4.515291087E1,5.162428625E1,6.974750490E0,3.368522113E1,7.841418457E1,0.000000000E0,0.000000000E0,3.904702432E-3,1.344261169E1,9.234862328E0,1.000000000E1
